"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/BaseSystem/Character/ReadyPlayerMe/Materials/Wolf3D_Glasses_001.Wolf3D_Glasses_001","20","32","2","1","23.621971","0","104"
"/Game/BaseSystem/Character/ReadyPlayerMe/Materials/Wolf3D_Beard_001.Wolf3D_Beard_001","20","28","28","1","22.541824","0","28"
"/Game/BaseSystem/Character/ReadyPlayerMe/Materials/Wolf3D_Teeth_001.Wolf3D_Teeth_001","20","32","32","1","26.376944","0","32"
"/Game/BaseSystem/Character/ReadyPlayerMe/Materials/Wolf3D_Skin_001.Wolf3D_Skin_001","20","32","32","1","25.186174","0","32"
"/Game/BaseSystem/Character/ReadyPlayerMe/Materials/Wolf3D_Body_001.Wolf3D_Body_001","20","28","28","1","22.140409","0","28"
"/Game/BaseSystem/Character/ReadyPlayerMe/Materials/Wolf3D_Eye_001.Wolf3D_Eye_001","20","32","32","1","25.183277","0","32"
"/Game/BaseSystem/Character/ReadyPlayerMe/Materials/Wolf3D_Hair_001.Wolf3D_Hair_001","20","32","32","1","25.756474","0","32"
"/Game/BaseSystem/Character/ReadyPlayerMe/Materials/Wolf3D_Outfit_Bottom_001.Wolf3D_Outfit_Bottom_001","20","28","28","1","22.767282","0","28"
"/Game/BaseSystem/Character/ReadyPlayerMe/Materials/Wolf3D_Outfit_Footwear_001.Wolf3D_Outfit_Footwear_001","20","28","28","1","23.438736","0","28"
"/Game/BaseSystem/Character/ReadyPlayerMe/Materials/Wolf3D_Outfit_Top_001.Wolf3D_Outfit_Top_001","20","28","28","1","22.836754","0","28"
"/Game/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","20","30","96","3","27.487301","0","64"
"/Game/BaseSystem/Systems/SoccerShooter/Materials/M_PrototypeGrid.M_PrototypeGrid","20","51","1","1","49.423615","0","265"
"/Game/Characters/Mannequin_UE4/Materials/M_MannequinUE4_Body.M_MannequinUE4_Body","20","116","10","2","82.586479","0","1103"
"/Game/BaseSystem/Systems/Seating/Materials/MI_Prototype_Gray.MI_Prototype_Gray","20","51","5","1","45.059250","0","1173"
"/Game/BaseSystem/Materials/M_PrototypeGrid.M_PrototypeGrid","20","51","1","1","0.000000","0","265"
"/Game/BaseSystem/Prototype/Materials/M_PrototypeGrid.M_PrototypeGrid","20","153","3","3","105.438507","51","2201"
"/Game/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","20","46","6","2","0.000000","0","226"
"/Game/BaseSystem/Prototype/Materials/M_Solid.M_Solid","20","28","1","1","21.115721","0","173"
"/Game/BaseSystem/Meshes/PresentationPlatform/Materials/M_Base.M_Base","20","16","1","1","11.577224","0","61"
"/Game/BaseSystem/Meshes/PresentationPlatform/Materials/M_Edge.M_Edge","20","16","1","1","11.601308","0","83"
"/Game/BaseSystem/Systems/UdpServer/Materials/1_2.1_2","20","14","1","1","10.628822","0","57"
"/Game/BaseSystem/Systems/UdpServer/Materials/4_2.4_2","20","14","1","1","10.230211","0","63"
"/Game/BaseSystem/Systems/UdpServer/Materials/2_2.2_2","20","14","1","1","10.408520","0","74"
"/Game/BaseSystem/Systems/Hightlight/Materials/M_Hightlight.M_Hightlight","20","6","1","1","3.829881","0","18"
"/Game/BaseSystem/Materials/M_BasicGlass.M_BasicGlass","20","26","2","1","23.906424","0","172"
"/Game/BaseSystem/Systems/UdpServer/Materials/6_2.6_2","20","14","1","1","11.088436","0","79"
"/Game/BaseSystem/Systems/UdpServer/Materials/5_2.5_2","20","14","1","1","10.828719","0","49"
"/Game/BaseSystem/Systems/UdpServer/Materials/3_2.3_2","20","14","1","1","10.631526","0","67"
"/Game/BaseSystem/Character/ReadyPlayerMe/Materials/M_Ghost.M_Ghost","20","52","2","1","48.465981","0","530"
"/Engine/EditorMaterials/HelpFlatColour.HelpFlatColour","20","14","1","1","10.365768","0","68"
"/Game/BaseSystem/Systems/Door/Materials/M_Door.M_Door","20","14","1","1","10.411876","0","50"
"/Game/BaseSystem/Systems/Door/Materials/M_DoorInner.M_DoorInner","20","14","1","1","10.360005","0","54"
"/Game/BaseSystem/Systems/Door/Materials/M_Handle.M_Handle","20","14","1","1","10.497720","0","60"
"/Game/BaseSystem/Systems/SoccerShooter/Materials/M_Solid.M_Solid","20","28","1","1","0.000000","0","173"
"/Game/BaseSystem/Prototype/Character/YellowBoy/TutorialTPP_Mat.TutorialTPP_Mat","20","28","1","1","21.419203","0","115"
"/Game/BaseSystem/Systems/Metric/Materials/M_Selection.M_Selection","20","37","9","1","27.941038","0","222"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","20","0","4","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","20","0","28","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","20","0","6","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","20","0","5","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","20","0","5","1","0.000000","0","0"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","20","0","18","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","20","0","6","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","20","0","7","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","20","0","4","1","0.000000","0","0"
